"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","Predicted_Count"
50,"2011-02-19",1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1285.79077148438
53,"2011-02-22",1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1634.51242828369
64,"2011-03-05",1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,1233.59344482422
66,"2011-03-07",1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1830.07737731934
68,"2011-03-09",1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1533.96441650391
71,"2011-03-12",1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2256.70007324219
78,"2011-03-19",1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2140.54833984375
88,"2011-03-29",2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2527.53799438477
93,"2011-04-03",2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2617.970703125
103,"2011-04-13",2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2573.93896484375
105,"2011-04-15",2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,3456.51184082031
120,"2011-04-30",2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,4396.52111816406
126,"2011-05-06",2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,3955.32727050781
155,"2011-06-04",2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,5645.13647460938
170,"2011-06-19",2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,4777.7412109375
183,"2011-07-02",3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,5604.75463867188
186,"2011-07-05",3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,4605.17425537109
202,"2011-07-21",3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,3767.00665283203
209,"2011-07-28",3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,4503.94464111328
211,"2011-07-30",3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,4284.12976074219
214,"2011-08-02",3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,4729.70135498047
234,"2011-08-22",3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,5014.77484130859
242,"2011-08-30",3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,5063.28082275391
260,"2011-09-17",3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,4144.18432617188
262,"2011-09-19",3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,4477.95373535156
263,"2011-09-20",3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,4118.14810180664
291,"2011-10-18",4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748,4542.31524658203
294,"2011-10-21",4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676,3628,4304,4059.02087402344
298,"2011-10-25",4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695,3992,4687,4309.66073608398
303,"2011-10-30",4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885,2446,3331,3471.38470458984
308,"2011-11-04",4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046,3470.6665802002
309,"2011-11-05",4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926,3620.9912109375
320,"2011-11-16",4,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817,2464.14384460449
357,"2011-12-23",1,0,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246,163,2046,2209,1174.25207519531
386,"2012-01-21",1,1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642,67,1234,1301,1552.07109069824
391,"2012-01-26",1,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,244,3831,4075,3439.81861877441
398,"2012-02-02",1,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,190,3571,3761,3840.60629272461
401,"2012-02-05",1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,318,2629,2947,2460.41024780273
403,"2012-02-07",1,1,2,0,2,1,1,0.354167,0.361104,0.49625,0.147379,199,4176,4375,4388.546875
412,"2012-02-16",1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,74,2931,3005,3262.77417755127
423,"2012-02-27",1,1,2,0,1,1,1,0.366667,0.357954,0.490833,0.268033,253,4069,4322,4364.44430541992
425,"2012-02-29",1,1,2,0,3,1,2,0.344348,0.34847,0.804783,0.179117,65,1769,1834,3450.15190124512
431,"2012-03-06",1,1,3,0,2,1,1,0.258333,0.255042,0.456667,0.200875,221,3735,3956,3349.3035736084
435,"2012-03-10",1,1,3,0,6,0,1,0.2875,0.277767,0.350417,0.22575,968,3150,4118,3404.28192138672
440,"2012-03-15",1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,1005,5187,6192,6163.83911132812
467,"2012-04-11",2,1,4,0,3,1,1,0.348696,0.337274,0.469565,0.295274,482,4380,4862,4898.43151855469
472,"2012-04-16",2,1,4,1,1,0,1,0.664167,0.614925,0.561667,0.284829,1198,5172,6370,7123.02319335938
495,"2012-05-09",2,1,5,0,3,1,2,0.575,0.553025,0.744167,0.216412,620,4097,4717,5281.44415283203
519,"2012-06-02",2,1,6,0,6,0,1,0.583333,0.566288,0.549167,0.186562,2795,5325,8120,7283.91455078125
522,"2012-06-05",2,1,6,0,2,1,2,0.540833,0.525892,0.613333,0.209575,968,6033,7001,6148.63269042969
524,"2012-06-07",2,1,6,0,4,1,1,0.6025,0.569442,0.567083,0.15735,1038,6456,7494,6995.67883300781
562,"2012-07-15",3,1,7,0,0,0,1,0.745833,0.705196,0.717917,0.166667,1920,4111,6031,6431.49816894531
565,"2012-07-18",3,1,7,0,3,1,1,0.793333,0.745583,0.577083,0.137442,799,4914,5713,6456.85095214844
573,"2012-07-26",3,1,7,0,4,1,1,0.776667,0.739263,0.596667,0.284813,1036,5825,6861,6458.16925048828
576,"2012-07-29",3,1,7,0,0,0,1,0.721667,0.667933,0.62375,0.170396,2153,4444,6597,7043.37646484375
578,"2012-07-31",3,1,7,0,2,1,1,0.713333,0.662896,0.704167,0.165425,968,6248,7216,6951.69738769531
581,"2012-08-03",3,1,8,0,5,1,2,0.765833,0.722867,0.6425,0.215792,1328,5847,7175,6080.96142578125
598,"2012-08-20",3,1,8,0,1,1,2,0.635833,0.595967,0.734167,0.129979,1026,5504,6530,7028.94445800781
602,"2012-08-24",3,1,8,0,5,1,2,0.7025,0.6471,0.615,0.0721458,1325,6257,7582,7118.08923339844
605,"2012-08-27",3,1,8,0,1,1,1,0.703333,0.654688,0.730417,0.128733,989,5928,6917,7223.62719726562
611,"2012-09-02",3,1,9,0,0,0,2,0.696667,0.649,0.815,0.0640708,2613,3197,5810,6690.66967773438
617,"2012-09-08",3,1,9,0,6,0,2,0.659167,0.611121,0.799167,0.281104,1557,4419,5976,6375.62927246094
618,"2012-09-09",3,1,9,0,0,0,1,0.61,0.578925,0.5475,0.224496,2570,5657,8227,7416.80297851562
620,"2012-09-11",3,1,9,0,2,1,1,0.5775,0.554292,0.52,0.0920542,1070,6697,7767,7778.134765625
627,"2012-09-18",3,1,9,0,2,1,2,0.623333,0.565067,0.8725,0.357587,371,3702,4073,3827.96380615234
644,"2012-10-05",4,1,10,0,5,1,1,0.615,0.580187,0.6275,0.10635,1516,6640,8156,7642.3876953125
655,"2012-10-16",4,1,10,0,2,1,1,0.468333,0.460846,0.558333,0.182221,922,6612,7534,6874.57916259766
657,"2012-10-18",4,1,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,1008,6501,7509,6513.82098388672
662,"2012-10-23",4,1,10,0,2,1,1,0.544167,0.530304,0.641667,0.0945458,841,6625,7466,7544.333984375
683,"2012-11-13",4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,327,3767,4094,4706.71435546875
711,"2012-12-11",4,1,12,0,2,1,2,0.353333,0.338363,0.596667,0.296037,282,5219,5501,4939.04806518555
717,"2012-12-17",4,1,12,0,1,1,2,0.393333,0.4015,0.907083,0.0982583,212,4373,4585,4336.8596496582
723,"2012-12-23",1,1,12,0,0,0,1,0.245833,0.259471,0.515417,0.133083,408,1379,1787,2401.11416625977
